record_id,period_start,team_id,designer_id,capacity_points,slides_completed,logic_version,updated_at
CAPA0007,2026-01-01,TEAM-B,DES-103,22,,designer_points_v2,2026-01-28T10:00:00Z
CAPA0018,2026-05-01,TEAM-A,DES-102,25,,designer_points_v2,2026-05-28T10:00:00Z
CAPA0002,2021-10-01,TEAM-B,,90,,team_points_v1,2021-10-28T10:00:00Z
CAPA0011,2026-03-01,TEAM-A,DES-101,22,,designer_points_v2,2026-03-28T10:00:00Z
CAPA0023,2026-06-01,TEAM-A,DES-101,,50,designer_slides_v3,2026-07-28T10:00:00Z
CAPA0010,2026-02-01,TEAM-B,DES-103,27,,designer_points_v2,2026-02-28T16:00:00Z
CAPA0012,2026-03-01,TEAM-A,DES-102,23,,designer_points_v2,2026-03-28T10:00:00Z
CAPA0003,2022-03-01,TEAM-A,,95,,team_points_v1,2022-03-28T10:00:00Z
CAPA0024,2026-07-01,TEAM-A,DES-102,,51,designer_slides_v3,2026-07-28T10:00:00Z
CAPA0020,2026-06-01,TEAM-A,DES-101,25,,designer_points_v2,2026-06-28T10:00:00Z
CAPA0017,2026-05-01,TEAM-A,DES-101,24,,designer_points_v2,2026-05-28T10:00:00Z
CAPA0022,2026-06-01,TEAM-B,DES-103,27,,designer_points_v2,2026-06-28T10:00:00Z
CAPA0005,2026-01-01,TEAM-A,DES-101,20,,designer_points_v2,2026-01-28T10:00:00Z
CAPA0028,2026-08-01,TEAM-B,DES-103,,53,designer_slides_v3,2026-08-28T10:00:00Z
CAPA0006,2026-01-01,TEAM-A,DES-102,21,,designer_points_v2,2026-01-28T10:00:00Z
CAPA0013,2026-03-01,TEAM-B,DES-103,24,,designer_points_v2,2026-03-28T10:00:00Z
CAPA0026,2026-08-01,TEAM-A,DES-101,,51,designer_slides_v3,2026-08-28T10:00:00Z
CAPA0014,2026-04-01,TEAM-A,DES-101,23,,designer_points_v2,2026-04-28T10:00:00Z
CAPA0027,2026-08-01,TEAM-A,DES-102,,52,designer_slides_v3,2026-08-28T10:00:00Z
CAPA0004,2022-08-01,TEAM-B,,100,,team_points_v1,2022-08-28T10:00:00Z
CAPA0019,2026-05-01,TEAM-B,DES-103,26,,designer_points_v2,2026-05-28T10:00:00Z
CAPA0009,2026-02-01,TEAM-A,DES-102,22,,designer_points_v2,2026-02-28T10:00:00Z
CAPA0015,2026-04-01,TEAM-A,DES-102,24,,designer_points_v2,2026-04-28T10:00:00Z
CAPA0003,2022-03-01,TEAM-A,,95,,team_points_v1,2022-03-28T10:00:00Z
CAPA0001,2021-07-01,TEAM-A,,85,,team_points_v1,2021-07-28T10:00:00Z
CAPA0025,2026-07-01,TEAM-B,DES-103,,52,designer_slides_v3,2026-07-28T10:00:00Z
CAPA0021,2026-06-01,TEAM-A,DES-102,26,,designer_points_v2,2026-06-28T10:00:00Z
CAPA0016,2026-04-01,TEAM-B,DES-103,25,,designer_points_v2,2026-04-28T10:00:00Z
CAPA0008,2026-02-01,TEAM-A,DES-101,21,,designer_points_v2,2026-02-28T10:00:00Z
CAPA0010,2026-02-01,TEAM-B,DES-103,23,,designer_points_v2,2026-02-28T10:00:00Z
