source_row_id,spreadsheet_row,occurred_at,customer_id,adjustment_type,amount,currency,reason,approval_status,updated_at
MANA0014,15,2026-02-24T09:30:00Z,CUST043,refund,40.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANA0008,9,2026-02-18T09:30:00Z,CUST025,revenue_addition,28.00,GBP,Approval revoked after Finance review,rejected,2026-02-25T20:00:00Z
,40,2026-05-15T08:00:00Z,CUST025,revenue_addition,45.00,USD,Missing stable source key,approved,2026-05-16T08:00:00Z
MANA0018,19,2026-06-13T09:30:00Z,CUST055,revenue_addition,48.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
MANA0011,12,2026-05-21T09:30:00Z,CUST034,revenue_addition,34.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANA0008,9,2026-02-18T09:30:00Z,CUST025,revenue_addition,28.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANA0006,7,2026-06-16T09:30:00Z,CUST019,revenue_addition,24.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
MANA0005,6,2026-05-15T09:30:00Z,CUST016,revenue_addition,31.00,GBP,Corrected after Finance review,approved,2026-05-25T18:30:00Z
MANA0016,17,2026-04-11T09:30:00Z,CUST049,revenue_addition,44.00,EUR,Finance-approved manual correction,approved,2026-04-25T14:00:00Z
MANA0019,30,2026-04-12T08:00:00Z,CUST021,revenue_addition,100.00,USD,Pending approval,pending,2026-04-13T08:00:00Z
MANA0003,4,2026-03-13T09:30:00Z,CUST010,revenue_addition,18.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANA0010,11,2026-04-20T09:30:00Z,CUST031,revenue_addition,32.00,EUR,Finance-approved manual correction,approved,2026-04-25T14:00:00Z
MANA0013,14,2026-01-23T09:30:00Z,CUST040,revenue_addition,38.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANA0015,16,2026-03-10T09:30:00Z,CUST046,revenue_addition,42.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANA0023,42,2026-06-18T08:00:00Z,UNKNOWN99,revenue_addition,55.00,USD,Customer not found,approved,2026-06-19T08:00:00Z
MANA0009,10,2026-03-19T09:30:00Z,CUST028,revenue_addition,30.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
   ,43,2026-06-20T08:00:00Z,CUST027,revenue_addition,60.00,USD,Stable source key contains whitespace only,approved,2026-06-21T08:00:00Z
MANA0002,3,2026-02-12T09:30:00Z,CUST007,revenue_addition,16.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANA0020,31,2026-05-12T08:00:00Z,CUST022,revenue_addition,100.00,USD,Pending approval,pending,2026-05-13T08:00:00Z
MANA0005,6,2026-05-15T09:30:00Z,CUST016,revenue_addition,22.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANA0004,5,2026-04-14T09:30:00Z,CUST013,revenue_addition,20.00,EUR,"Finance-approved manual correction, reviewed by controller",approved,2026-04-25T14:00:00Z
MANA0013,14,2026-01-23T09:30:00Z,CUST040,revenue_addition,47.00,EUR,Corrected after Finance review,approved,2026-01-25T18:30:00Z
MANA0011,12,2026-05-21T09:30:00Z,CUST034,revenue_addition,34.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANA0022,41,2026-05-18T08:00:00Z,CUST026,revenue_addition,50.00,IDR,Currency absent from supplied FX table,approved,2026-05-19T08:00:00Z
MANA0001,2,2026-01-11T09:30:00Z,CUST004,revenue_addition,14.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANA0012,13,2026-06-22T09:30:00Z,CUST037,revenue_addition,36.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
MANA0003,4,2026-03-13T09:30:00Z,CUST010,revenue_addition,18.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANA0007,8,2026-01-17T09:30:00Z,CUST022,refund,26.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANA0017,18,2026-05-12T09:30:00Z,CUST052,revenue_addition,46.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANA0025,45,2026-06-27T09:30:00Z,CUST001,revenue_addition,40.00,USD,Conflicting Finance correction pending decision,approved,2026-06-28T14:00:00Z
MANA0025,45,2026-06-27T09:30:00Z,CUST001,refund,40.00,USD,Conflicting Finance correction pending decision,approved,2026-06-28T14:00:00Z
